Timestamp,P&L,Position,Window,Specification,T_years,tau_months,ChnLen,StpPct,Equity,Drawdown
2024-12-20 12:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 12:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 13:55:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:35:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:50:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 14:55:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-20 15:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:10:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:30:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 09:55:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-23 10:40:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
